scenario_id,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,period,dgp_seed,n,selected_endpoint,dropping_selections,ipw_selections,selections_matching_better_endpoint,selections_matching_current_oracle,better_endpoint,selector_history_months,selector_history_count,validation_contrast_mae,gap_vs_better_endpoint,paired_sd,lower_95,upper_95,result_vs_endpoint,best_other_method,gap_vs_best_other,best_non_endpoint_method,gap_vs_best_non_endpoint,non_endpoint_lower_95,non_endpoint_upper_95,result_vs_non_endpoint,asymmetric_rank
high_trigger_low_holdout,No shift; 12% trigger; 2% holdout,0.0,0.02,0.0,0.12,0.02,0.01,1.8,0.7,early,0,5,mixed,3,2,2,2,R4_ipw_pure,1,1,0.0014498385952392613,-0.00013623067729562344,0.0014074785336011136,-0.0018838461007127565,0.0016113847461215096,ties,R2_unflagged_only,-0.00026436518861960856,R2_unflagged_only,-0.00026436518861960856,-0.002259848033691673,0.0017311176564525003,ties,3
high_trigger_low_holdout,No shift; 12% trigger; 2% holdout,0.0,0.02,0.0,0.12,0.02,0.01,1.8,0.7,late,0,5,R3_drop_unweighted,5,0,5,5,R3_drop_unweighted,"7,8,9,10,11,12",6,0.0034318004080733334,0.0,0.0,0.0,0.0,ties,R2_unflagged_only,-5.9396941414435744e-05,R2_unflagged_only,-5.9396941414435744e-05,-0.0011873985883073537,0.001068604705478438,ties,2
low_base_high_holdout,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,early,0,5,mixed,3,2,3,5,R3_drop_unweighted,1,1,0.0018157720080996364,0.0002343542809421395,0.0020058950445944472,-0.0022562933801061245,0.002725001941990403,ties,R6_no_retrain,-0.000666889946568161,R6_no_retrain,-0.000666889946568161,-0.0026093375213053684,0.0012755576281688686,ties,2
low_base_high_holdout,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,late,0,5,mixed,1,4,4,2,R4_ipw_pure,"7,8,9,10,11,12",6,0.005359257677860425,-0.002140827864409367,0.004787036632945048,-0.008084718909619811,0.0038030631808010774,ties,R4_ipw_pure,-0.002140827864409278,R1_holdout_only,0.01765943944993631,0.008824440128667631,0.026494438771204946,wins,2
low_shift,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,early,0,5,mixed,1,4,1,5,R3_drop_unweighted,1,1,0.0015486754656568679,-0.00011171771454796531,0.0022678281548792253,-0.0029275982885743745,0.0027041628594784437,ties,R2_unflagged_only,-0.0008890630881033257,R2_unflagged_only,-0.0008890630881033257,-0.003592463843081541,0.0018143376668747118,ties,3
low_shift,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,late,0,5,R3_drop_unweighted,5,0,5,5,R3_drop_unweighted,"7,8,9,10,11,12",6,0.0015309636055425347,0.0,0.0,0.0,0.0,ties,R2_unflagged_only,-0.00025682576900487586,R2_unflagged_only,-0.00025682576900487586,-0.0021806346826284354,0.0016669831446187726,ties,2
no_shift,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,early,0,5,mixed,2,3,3,4,R4_ipw_pure,1,1,0.0006085975555380818,-0.0005050034466747011,0.0009916503746555869,-0.00173630001568982,0.0007262931223404178,ties,R4_ipw_pure,-0.0005050034466747011,R2_unflagged_only,-0.00017883812999863746,-0.0026181652026203523,0.002260488942623166,ties,4
no_shift,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,late,0,5,R3_drop_unweighted,5,0,5,5,R3_drop_unweighted,"7,8,9,10,11,12",6,0.0034271483058163784,0.0,0.0,0.0,0.0,ties,R2_unflagged_only,-0.00040379034200332953,R2_unflagged_only,-0.00040379034200332953,-0.0026707606612882315,0.0018631799772816167,ties,2
reference,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,early,0,5,mixed,2,3,2,1,R3_drop_unweighted,1,1,0.0016095245702077321,-3.0325452205826053e-06,0.0003448036932491331,-0.00043116287757572624,0.0004250977871345611,ties,R2_unflagged_only,-3.411108842721333e-05,R2_unflagged_only,-3.411108842721333e-05,-0.002466428504676683,0.0023982063278223005,ties,3
reference,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,late,0,5,R4_ipw_pure,0,5,5,5,R4_ipw_pure,"7,8,9,10,11,12",6,0.002848686899394474,0.0,0.0,0.0,0.0,ties,R4_ipw_pure,0.0,R1_holdout_only,0.01231407769054238,0.006764565712139492,0.017863589668945315,wins,1
reference_drift,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,early,0,5,mixed,4,1,1,1,R4_ipw_pure,1,1,0.0028715517080952547,-0.00045328361249030724,0.0009901772644921182,-0.001682751073650059,0.0007761838486694446,ties,R2_unflagged_only,-0.0007819806524279604,R2_unflagged_only,-0.0007819806524279604,-0.002300329179703451,0.0007363678748476634,ties,3
reference_drift,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,late,0,5,R4_ipw_pure,0,5,5,5,R4_ipw_pure,"7,8,9,10,11,12",6,0.0032856109030136617,0.0,0.0,0.0,0.0,ties,R4_ipw_pure,0.0,R1_holdout_only,0.011885012463270561,0.007093043005478011,0.016676981921063202,wins,1
