scenario_id,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,period,dgp_seed,n,dropping_mean,ipw_mean,ipw_minus_dropping,paired_sd,lower_95,upper_95,negative_seeds,positive_seeds,result
high_trigger_low_holdout,No shift; 12% trigger; 2% holdout,0.0,0.02,0.0,0.12,0.02,0.01,1.8,0.7,early,0,5,0.6000235380068983,0.6006236065448999,0.0006000685380015191,0.001524068800659736,-0.0012923128225632678,0.002492449898566306,1,4,tie
high_trigger_low_holdout,No shift; 12% trigger; 2% holdout,0.0,0.02,0.0,0.12,0.02,0.01,1.8,0.7,late,0,5,0.594931991475681,0.5800107985784357,-0.014921192897245228,0.002485279026689576,-0.018007074390176573,-0.011835311404313884,5,0,dropping_wins
low_base_high_holdout,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,early,0,5,0.8204192447936608,0.8197942597797887,-0.0006249850138720925,0.004681801780552477,-0.006438209731510393,0.005188239703766208,3,2,tie
low_base_high_holdout,0.1% base rate; 20% holdout,1.5,0.02,0.0,0.06,0.2,0.001,1.8,0.7,late,0,5,0.8166594468182803,0.8211382670470753,0.004478820228795022,0.004696568096811866,-0.001352739292128654,0.010310379749718698,0,5,tie
low_shift,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,early,0,5,0.6008925871594035,0.6006964447763472,-0.00019614238305638577,0.002270485154275099,-0.0030153220575759006,0.0026230372914631287,3,2,tie
low_shift,Low shift + regional drift,0.25,0.02,0.02,0.06,0.05,0.01,1.8,0.7,late,0,5,0.5957504372270173,0.5891416984476259,-0.006608738779391432,0.0008895239701148692,-0.007713228668622348,-0.005504248890160515,5,0,dropping_wins
no_shift,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,early,0,5,0.6006663264079501,0.6008370714293072,0.00017074502135701054,0.0012401181460879637,-0.0013690650341596131,0.001710555076873634,3,2,tie
no_shift,No regional shift,0.0,0.02,0.0,0.06,0.05,0.01,1.8,0.7,late,0,5,0.5959167962928837,0.5899866481303633,-0.0059301481625203545,0.002208578605175539,-0.008672460703769912,-0.003187835621270797,5,0,dropping_wins
reference,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,early,0,5,0.7254585869587692,0.7254245617671682,-3.402519160100592e-05,0.00043495202940139484,-0.0005740894674543841,0.0005060390842523722,2,3,tie
reference,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,late,0,5,0.6893847820152363,0.6987152390283684,0.009330457013131888,0.0018531396186719814,0.007029480264981833,0.011631433761281944,0,5,ipw_wins
reference_drift,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,early,0,5,0.7203105431450112,0.720934623608807,0.0006240804637957619,0.0009657951660637551,-0.0005751126235448308,0.0018232735511363547,2,3,tie
reference_drift,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,late,0,5,0.6749240137264529,0.6833170895323523,0.008393075805899385,0.0028360239638675617,0.004871686951921894,0.011914464659876877,0,5,ipw_wins
